item_name,quantity,price_per_unit,purchase_type
шлем солдата (эксперт),100,4807,order
шлем хранителя (мастер),70,17758,order
шлем рыцаря (мастер),70,17199,order
шлем рыцаря (старейшина),5,101555,order
капюшон охотника (знаток),100,1870,order
капюшон убийцы (знаток),100,1896,order
капюшон убийцы (мастер),70,27903,order
колпак клирика (знаток),100,1447,order
колпак чародея (эксперт),100,5236,order
броня солдата (знаток),100,2965,order
броня хранителя (эксперт),100,9441,order
куртка охотника (знаток),100,2906,order
куртка охотника (мастер),70,41189,order
куртка убийцы (эксперт),100,10484,order
мантия ученого (знаток),100,3478,order
мантия клирика (знаток),100,2460,order
мантия клирика (эксперт),100,11522,order
мантия клирика (мастер),25,39091,order
мантия чародея (знаток),5,2789,order
шлем солдата (знаток),100,1312,order
шлем солдата (знаток),100,1312,order
шлем солдата (знаток),100,1312,order
шлем солдата (эксперт),100,4463,order
шлем солдата (эксперт),100,4463,order
шлем солдата (эксперт),100,4463,order
шлем солдата (мастер),70,15998,order
шлем солдата (магистр),10,35730,order
шлем хранителя (эксперт),100,4349,order
шлем хранителя (мастер),70,15992,order
шлем рыцаря (знаток),100,1234,order
шлем рыцаря (эксперт),100,4230,order
шлем рыцаря (мастер),70,16846,order
шлем рыцаря (старейшина),5,111900,order
капюшон охотника (эксперт),100,7107,order
капюшон охотника (мастер),70,30842,order
капюшон убийцы (знаток),100,1886,order
капюшон убийцы (эксперт),100,7829,order
капюшон наемника (знаток),100,2657,order
капюшон наемника (эксперт),100,6999,order
капюшон наемника (мастер),70,29506,order
колпак ученого (эксперт),100,5877,order
колпак ученого (мастер),70,22950,order
колпак клирика (знаток),100,1441,order
колпак клирика (эксперт),100,5875,order
колпак клирика (мастер),70,22480,order
колпак клирика (магистр),10,47572,order
колпак чародея (знаток),100,1602,order
колпак чародея (эксперт),100,5870,order
колпак чародея (мастер),70,20304,order
колпак чародея (старейшина),5,109999,order
броня солдата (знаток),100,3033,order
броня солдата (эксперт),100,10062,order
броня солдата (мастер),70,36435,order
броня хранителя (знаток),100,3311,order
броня хранителя (эксперт),100,9692,order
броня хранителя (мастер),70,33756,order
броня рыцаря (эксперт),100,9536,order
броня рыцаря (мастер),12,37420,order
куртка наемника (знаток),5,2749,order
шлем солдата (эксперт),100,4263,order
шлем солдата (мастер),70,15567,order
шлем хранителя (эксперт),100,3632,order
шлем хранителя (мастер),70,16436,order
шлем рыцаря (эксперт),100,3888,order
шлем рыцаря (мастер),70,16861,order
